Loan_Portfolio;Deposit_Portfolio;Profit
55332536,89;44255859,78;22228062,99
71803747,27;57444925,76;28782184,13
60673574,23;48723818,51;24280381,69
54943435,12;43933331,43;22146787,11
42941825,13;34303558,44;17173303,27
64943517,19;51956948,88;25877837,89
44321133,92;35364995,79;17664207,4
89285527,08;71447697,05;35813473,37
96402613,29;77085585,11;38543554,3
38960710,36;30989435,54;15583404,24
79380778,77;63498764,36;31859751,58
53360597,06;42656723,34;21368414,74
57236411,55;45625886,91;22727173,19
92634067,19;74100540,34;37063815,63
8032569,762;6574991,405;3292012,288
9625800,67;7752770,911;4062320,089
3001621,347;2462489,797;1068612,704
83429364,71;66609342,09;33291188,8
78037518,34;62477704,51;31180442,9
87131202,68;69719807,1;34893414,11
97883215,88;78359477,23;38935982,18
80116697,86;64135621,15;32179303,03
46686456,86;37213187,42;18607968,56
78272388,45;62613770,68;31122415,22
12709168,16;10091547,44;5009662,408
64352181,11;51476736,48;25799264,47
15191975,45;12063840,27;5872775,348
94522222,79;75749025,27;37874834,86
52662983,85;42044489,84;20916497,56
42051532,06;33551331,43;16720067,21
27191005,6;21760263,12;10882805,4
77649135,25;62011598,3;31024144,17
46158882,89;36884639,98;18395245,74
57274960,94;45736972,29;22895765,78
2860190,243;2429269,401;1296432,461
62145914,21;49795311,75;24869764,45
61597476,55;49272234,29;24779273,92
62076465,69;49622050,85;24957246,84
94431059,77;75638939,58;37776599,58
68500209,61;54840688,1;27356559,99
36591282,16;29322830,97;14494998,18
44266163,43;35410311,52;17692498,83
70065488,4;55883567,71;27905440,08
6962321,691;5558610,755;2857210,499
67009904,83;53554674,87;26626371,28
67393149,09;53979024,8;26961773,26
21827873,55;17563483,08;8878615,979
13763703,47;10945167,67;5399548,125
32227406,74;25828763,92;12838145,8
37007366,32;29779480,96;14745046,45
57449480,27;45892812,95;23208463,86
44421549,83;35705432,04;17777968,7
98849009,97;78993949,39;39366940,01
11102436,26;8884244,987;4361737,453
21678798,85;17341924,52;8593532,753
16969642,27;13576863,71;6761492,875
65657724,22;52442411,57;26303743,01
26075868,65;20801576,61;10370955,99
47164766,51;37665041,18;18740238,26
25198133,61;20191203,15;9950467,723
16737988,78;13423394,54;6713883,004
11927138,98;9764305,613;4886406,714
65976629,36;52918402,39;26612294,43
14680112,18;11693105,42;5855797,485
20461653,81;16401810,01;8191004,172
37503791,9;30102745,31;14946307,27
82278329,75;65825723,99;32882266,74
10613026,3;8483456,885;4197880,997
83956545,84;67170394,17;33548180,67
10513742,38;8497721,568;4152935,245
97669487,04;78050757,58;39079211,75
47396468,96;37884608,22;18928059,57
97699347,73;78206521,5;39083225,4
60879706,45;48734909,87;24196050,32
74187094,36;59373633,76;29736181,29
4879591,433;3866693,03;1982048,048
28997889,3;23295565,01;11563869,57
12899459,56;10532954,47;5365489,375
30317879,55;24294945,19;12010996,77
12754044,18;10183917,67;5089771,845
32480334,76;26059841,84;13002800,18
42012036,46;33555715,9;16646140,47
7350602,139;5805512,676;2921726,599
69554739,82;55647072,73;27993793,38
57093543,97;45416555,51;22715041,18
27273559,6;21703452,65;10805424,15
52801557,29;42206449,65;21147927,24
10300110,57;8104749,566;4062946,783
58018703,06;46311698,14;23158625,28
93000323,56;74356584,01;37135737,79
32538326,29;25866364,5;13075379,81
67073627,62;53618294,91;26854783,79
14047988,38;11184863,69;5539564,777
71916393,21;57535655,09;28757027,16
29651203,2;23836380,96;11844103,81
19135944,84;15326006,31;7602174,041
59064780,55;47253930,64;23562892,75
2990647,073;2402463,104;1087800,393
83065062,89;66474789,59;33315122,49
1464852,143;1070207,85;505999,7785
68103837,14;54471592,18;27291208,85
27730789,35;22215506,6;11040740,71
73784208,19;58890290,55;29439109,03
96256665,97;77091898,07;38474844,97
25626561,21;20609386,57;10376660,1
58039576,11;46368523,29;23159419,71
59612151,2;47665587,18;23759706,23
57652938,67;46034531,9;22853095,63
23085081,63;18538003,35;9296568,332
95322152,14;76151599,48;38004961,24
45265412,48;36190082,29;18093463,22
84794458,57;67749674,87;33825664,42
70248448,26;56203854,03;28197345,97
30446258,13;24177583,58;12143206,27
81565984,15;65385433,48;32737437,95
40254068,34;32106794,03;15991784,9
88229216,51;70589362,68;35341310,34
58546014,39;46815559,21;23579262,77
88291800,82;70557229,21;35195396
69560627,42;55559723,92;27797095,87
72800173,7;58333778,82;29001967,71
50631113,81;40452326,99;20366019,7
95652279,84;76548940,89;38234679,23
64755029,72;51723874,09;25940194,93
42961649,81;34304601,7;16979978,03
61032928,2;48873567,27;24616537,58
2900126,633;2413142,156;1170883,925
30855906,85;24667193,84;12388162,65
66357180,21;52943552,18;26486857,91
29717683,11;23973942,1;11961423,97
62183527,47;49661167,05;24999162,75
43448101,39;34604322,37;17137356,57
14411932,36;11788988,35;5924365,539
30529950,27;24383556,99;12282843,06
57426526,16;45795047,66;22894538,22
59496403,36;47528778,71;23752572,28
57858199,64;46323314,2;23147388,33
65666881,17;52552536,09;26153504,4
65558223,73;52361406,06;26184515,77
43710425,11;35150612,45;17626577,98
89758112,99;71754332,42;35884026,13
37388625,13;29792431,45;14868988,11
44150627,6;35416571,42;17659313,21
89300412,15;71573236;35758688,33
80813204,92;64568814,62;32410181,73
70684969,77;56407841,09;27995257,05
10922461,84;8841013,302;4424513,797
92028778,76;73418290,65;36676369,83
71709888,66;57245248,76;28768205,17
99885853,65;80005427,54;40008262,99
15795382,16;12630770,47;6463877,797
86944479,68;69529190,01;34552206
17086800,53;13704722,09;6898319,534
61940396,86;49537040,05;24796525,81
13258178,3;10476673,97;5377390,381
84952814,7;68089859,3;33880794,79
80924576,91;64872162,94;32420577,89
57340973,12;45893311,75;22953261,9
41311146,43;33053430,54;16477135,72
7847532,55;6511988,521;3377652,032
70045448,54;56008715,55;27970489,56
45900725,59;36694622,77;18550787,64
72483504,35;58023251,6;29117043,59
86771850,27;69564612,41;34877389,57
97576629;78220580,27;39166220,03
85724530,9;68553767,45;34170514,17
