Location;Size;Customer_Segment;Loan_Type;Profit
rural;large;corporate;personal;19131
city;large;retail;personal;13720
rural;large;retail;business;10539
rural;large;SME;business;25323
city;small;retail;business;23109
city;large;SME;personal;12461
rural;medium;SME;personal;13684
suburban;medium;corporate;personal;18047
rural;large;corporate;business;22796
rural;large;corporate;personal;21515
rural;medium;SME;mortgage;8234
rural;medium;corporate;mortgage;23062
city;small;retail;personal;10548
rural;medium;retail;mortgage;14980
suburban;medium;SME;mortgage;18788
city;large;SME;business;16213
suburban;medium;corporate;personal;19793
suburban;small;SME;personal;10173
suburban;medium;SME;business;16708
suburban;large;retail;mortgage;22355
city;large;retail;mortgage;17982
city;medium;corporate;personal;12600
suburban;large;SME;mortgage;21349
suburban;small;SME;business;22345
city;small;retail;business;21788
city;medium;SME;personal;13748
city;medium;retail;business;13673
rural;medium;corporate;business;11815
rural;large;retail;personal;12841
rural;small;SME;business;19197
suburban;small;corporate;business;18016
rural;large;retail;business;17011
suburban;small;retail;mortgage;11993
suburban;medium;corporate;personal;10174
rural;medium;corporate;personal;17088
suburban;medium;retail;personal;17078
rural;small;SME;mortgage;9658
rural;medium;retail;mortgage;10161
city;large;corporate;personal;13564
rural;large;retail;mortgage;20543
city;small;corporate;personal;13253
rural;large;corporate;mortgage;14479
rural;large;SME;business;18203
city;small;corporate;business;23828
city;medium;corporate;personal;22958
rural;medium;SME;mortgage;22744
suburban;medium;corporate;mortgage;17931
city;small;SME;business;11901
suburban;large;SME;business;14259
suburban;medium;corporate;mortgage;19469
suburban;medium;corporate;mortgage;21096
city;small;retail;mortgage;12423
suburban;medium;SME;mortgage;12714
city;small;retail;mortgage;11727
suburban;large;corporate;mortgage;21023
rural;small;retail;personal;19450
rural;small;SME;mortgage;18204
city;small;retail;business;20343
rural;small;SME;personal;19867
rural;large;corporate;mortgage;12245
suburban;large;corporate;business;17591
city;medium;SME;personal;13866
suburban;large;corporate;business;23456
suburban;large;corporate;mortgage;23993
suburban;medium;corporate;mortgage;14818
suburban;large;corporate;mortgage;12222
suburban;small;SME;mortgage;10792
suburban;small;retail;personal;17889
suburban;medium;retail;personal;22232
city;medium;corporate;business;23154
rural;medium;retail;mortgage;11563
suburban;small;retail;business;23047
suburban;large;corporate;personal;12024
suburban;small;corporate;mortgage;21452
suburban;medium;retail;mortgage;16224
suburban;large;SME;personal;16198
suburban;large;corporate;personal;14525
rural;small;SME;personal;10566
rural;medium;retail;personal;10803
suburban;small;corporate;personal;21088
rural;large;SME;mortgage;12709
city;small;corporate;personal;16155
suburban;small;retail;mortgage;21339
city;medium;SME;mortgage;10219
city;medium;retail;personal;24390
suburban;large;retail;personal;16016
rural;small;corporate;mortgage;12579
city;small;SME;personal;10472
suburban;small;retail;personal;11718
city;large;retail;personal;17895
city;large;SME;business;26958
city;medium;retail;mortgage;13402
city;medium;retail;business;15052
rural;medium;SME;personal;10707
city;small;SME;business;14926
city;small;SME;personal;16419
city;medium;SME;business;23512
rural;small;corporate;personal;19722
city;medium;SME;business;22767
city;large;corporate;business;26267
rural;medium;corporate;business;21308
rural;large;corporate;mortgage;20977
rural;small;retail;business;21870
city;medium;corporate;mortgage;18835
rural;small;corporate;personal;21403
rural;large;retail;business;18386
city;large;retail;personal;22688
rural;large;retail;personal;17680
city;small;SME;business;12704
suburban;small;retail;mortgage;18349
rural;small;retail;business;13845
suburban;small;corporate;personal;23747
city;large;retail;personal;13776
rural;large;SME;business;11602
city;medium;retail;mortgage;14243
suburban;medium;SME;mortgage;15114
city;small;retail;personal;18433
rural;large;retail;personal;17707
rural;large;retail;mortgage;22413
suburban;large;retail;business;15723
city;medium;SME;personal;18584
rural;medium;SME;mortgage;8630
suburban;large;corporate;personal;22408
rural;large;SME;business;20539
rural;large;retail;mortgage;19347
city;medium;corporate;personal;19671
rural;large;corporate;business;23721
city;large;corporate;personal;23094
rural;small;retail;business;20563
suburban;small;SME;business;16183
rural;medium;retail;mortgage;7777
city;large;corporate;business;12732
city;large;retail;personal;20244
suburban;small;retail;business;14690
rural;medium;SME;business;22901
rural;small;SME;mortgage;15159
suburban;small;corporate;business;21462
rural;small;retail;business;19101
rural;small;retail;personal;19204
city;large;SME;mortgage;10525
rural;large;retail;mortgage;22205
rural;small;retail;mortgage;21842
suburban;medium;retail;business;16968
